protocol_id,task,model,seed,regime,regime_n,ramp_q33,ramp_q67,test_rmse,test_mae,test_smape,rmse_h1,mae_h1,smape_h1,rmse_h2,mae_h2,smape_h2,rmse_h4,mae_h4,smape_h4,rmse_h8,mae_h8,smape_h8,rmse_h24,mae_h24,smape_h24,picp95,mpiw95
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,1,high,6474,0.3999999761581421,1.0,0.22480675508392714,0.14050033433333495,9.463388425434003,0.06959940323584916,0.05381258755949938,4.080303289448859,0.0901121644923586,0.06743475811364366,5.049428404499196,0.14366321772434137,0.10585817316265654,7.4894081450979355,0.24094120862891327,0.1795025259247156,11.765639920020995,0.40129081772956976,0.29589362690615956,18.932162368103032,0.9355267222737103,0.6699684262275696
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,2,low,7251,0.3999999761581421,1.0,0.162330837492158,0.10509413896371801,9.658548125601191,0.05923997203220283,0.04558416265994824,4.381526828666353,0.07089520630845415,0.05329799208208999,5.130633269656901,0.10262707095031265,0.07772632113589432,7.496290840660362,0.15920934896509506,0.12160293677152066,11.646277718428196,0.295535221168142,0.22725928216913688,19.638011970594142,0.9684181492207972,0.6439136862754822
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,2,medium,7276,0.3999999761581421,1.0,0.19764607930684802,0.12387632469740328,9.326990874484883,0.06207185900760428,0.04806461236416605,3.728483779240933,0.0793708477900871,0.0593880197220677,4.62249350734427,0.12379861952074382,0.08962733100704467,7.070687690027569,0.20734156218124963,0.14900608530340775,11.812079341418249,0.35616091105603415,0.2732955750903302,19.4012100543934,0.9433754810335349,0.6438947319984436
SpikeLoRA-TS-R2-corrected-v1,WS,lstm,2,high,6474,0.3999999761581421,1.0,0.20065910269397788,0.12722940880058353,8.678798120093619,0.064853123439275,0.051207302886835025,3.7781792098043674,0.08806709092945825,0.06766057294351215,4.915779606524738,0.13773987125262066,0.1025626072277432,7.154194142336475,0.22802418287857978,0.16705965328297573,11.006458478202674,0.34408042262677774,0.24765690766185164,16.539379163599833,0.9394810009267841,0.643962025642395
SpikeLoRA-TS-R2-corrected-v1,WS,gru,0,low,7251,0.3999999761581421,1.0,0.1578897493497126,0.09998258499092373,9.16738257400034,0.054242876634568185,0.04036914195016143,3.715235764987871,0.0684949593533354,0.051518009491845373,4.878469093684924,0.09994974780202774,0.07635836325223126,7.344125301247876,0.15479284569344617,0.11754660040999163,11.284986756637833,0.28820346712453565,0.21412080985038892,18.614095953443197,0.9668459522824439,0.626768946647644
SpikeLoRA-TS-R2-corrected-v1,WS,gru,0,medium,7276,0.3999999761581421,1.0,0.19238573121604602,0.12018891177117136,9.093397202411484,0.05781371760162828,0.04408316769692975,3.274164395808189,0.07674662630222114,0.05749043188231407,4.423051943640053,0.12111620035603213,0.08893419707981422,6.964465555858587,0.20289505762087895,0.14843911090645573,11.81451192080584,0.34640054689666355,0.2619976512903431,18.990792195944753,0.9445574491478834,0.6270353198051453
SpikeLoRA-TS-R2-corrected-v1,WS,gru,0,high,6474,0.3999999761581421,1.0,0.19701332865159302,0.12120406218690198,8.204673221594913,0.06079223819975828,0.046883260988327395,3.386068864714151,0.08051938432928288,0.06080838038039715,4.434318111210015,0.1253387430242572,0.09192011777655666,6.521962789136021,0.21367343207882988,0.1543398942610788,10.350588315007322,0.3500372191275565,0.25206865752814983,16.330428027907054,0.9439604572134692,0.6273185610771179
SpikeLoRA-TS-R2-corrected-v1,WS,gru,1,low,7251,0.3999999761581421,1.0,0.1582426338282884,0.10026198713849485,9.278566565894666,0.053958250104329746,0.03948772371990765,3.7349888280640315,0.06997376405305002,0.052477394502058704,5.030899177941148,0.10112674862367474,0.07795059312673917,7.555513267298229,0.15850503023532678,0.12150948236866863,11.780668107442292,0.2864356323808156,0.20988474197510013,18.290763448727628,0.9697972693421597,0.6347875595092773
SpikeLoRA-TS-R2-corrected-v1,WS,gru,1,medium,7276,0.3999999761581421,1.0,0.19643919970926865,0.12372129005413254,9.42839374620044,0.05840811548795503,0.04401678454751429,3.4555527559828025,0.07816743033471273,0.05971168304387523,4.73076712887181,0.1230361849506563,0.09085875844614659,7.354711798540634,0.20794343195753698,0.15233563930369656,12.253215604587671,0.35361245324594026,0.27168358492943007,19.34772144301929,0.9422759758108851,0.6348059773445129
SpikeLoRA-TS-R2-corrected-v1,WS,gru,1,high,6474,0.3999999761581421,1.0,0.19434374783140063,0.12291920865101323,8.561701667483398,0.06381463579300638,0.050157744813782955,3.9968285594882276,0.08284502141290351,0.06365770934760147,4.838713493915516,0.13196005619626036,0.09817334102707805,7.102174912591018,0.21786188159353373,0.16115541271416536,10.515054062089545,0.33620618734443536,0.24145183535243833,16.355737309332685,0.9420759962928638,0.6348185539245605
SpikeLoRA-TS-R2-corrected-v1,WS,gru,2,low,7251,0.3999999761581421,1.0,0.17846522304717424,0.10901444812360886,9.80935909341273,0.055840036297203605,0.04164815604185305,3.8924636525869487,0.07125310524406513,0.05314812612046934,4.978102372539738,0.10863620967969546,0.0818391274031467,7.73208415299482,0.17099229307462577,0.12844263588275734,12.072549714863868,0.3316833944913491,0.2399941951698179,20.37159557407827,0.9629016687353469,0.6508610844612122
