task,model,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
WS,gru,low,0.16486586874172507,0.011778707909089985,0.13560593622942535,0.1941258012540248,3,0.10308634008434248,0.005135792546815714,0.0903283241392294,0.11584435602945556,3,9.418436077769245,0.343083186899674,8.56617019493484,10.27070196060365,3,0.9665149634533169,0.003459695381955543,0.9579206036839392,0.9751093232226946,3,0.6374725302060446,0.012268438239599345,0.6069960401111537,0.6679490203009354,3
WS,gru,medium,0.1995611402821151,0.009145174076852905,0.17684326847756482,0.2222790120866654,3,0.12397290793381836,0.003915872777234878,0.11424534069359325,0.1337004751740435,3,9.341368647184188,0.21790701169742713,8.800057621778498,9.882679672589878,3,0.9426974528129008,0.0016891665253455674,0.9385013305459157,0.946893575079886,3,0.6380678216616312,0.012974668745161106,0.6058369577347076,0.6702986855885549,3
WS,itransformer,high,0.23122035742234412,0.007054093491337899,0.21369701775851624,0.248743697086172,3,0.1391313770572062,0.008234382636730488,0.11867603661657539,0.15958671749783704,3,9.621082058908181,0.713715888427198,7.848113505012758,11.394050612803603,3,0.9365255895376378,0.01471747265858196,0.899965360685253,0.9730858183900225,3,0.7262004017829895,0.005591360279543179,0.7123106928527656,0.7400901107132134,3
WS,itransformer,low,0.1737895682683671,0.0014697829427147862,0.17013842503232718,0.17744071150440704,3,0.11166685288929967,0.0017340350191266908,0.10735927110484474,0.11597443467375461,3,10.5529953216466,0.21124762185439616,10.028227137687024,11.077763505606177,3,0.9709005654392499,0.003096976906689331,0.9632072483130183,0.9785938825654814,3,0.7252189715703329,0.006155989973304143,0.7099266447246807,0.7405112984159851,3
WS,itransformer,medium,0.22199662736614903,0.005289039379081098,0.20885792518580396,0.2351353295464941,3,0.13846184077205206,0.006110761732173668,0.1232818671058268,0.15364181443827732,3,10.634296266537177,0.5421497700483293,9.287521577360042,11.981070955714312,3,0.9452904526296501,0.00923585750498565,0.9223473107014473,0.9682335945578529,3,0.7268565893173218,0.006409167678835874,0.7109353341855915,0.742777844449052,3
WS,lstm,high,0.2076661600489971,0.01492627610688899,0.17058723467633574,0.24474508542165846,3,0.13058033704868172,0.008740358524066854,0.10886808282509786,0.15229259127226558,3,8.839138356244028,0.5615200234200274,7.444245290180696,10.23403142230736,3,0.939676655339306,0.0042511384138861005,0.9291162420876319,0.9502370685909801,3,0.6566420396169027,0.013015243602703851,0.6243103821562095,0.6889736970775959,3
WS,lstm,low,0.16258443711078965,0.0010602640456088355,0.15995059521071242,0.1652182790108669,3,0.10535867864420423,0.0010376074919859948,0.10278111874339908,0.10793623854500937,3,9.706197782492351,0.16578659251686684,9.294361055923721,10.118034509060982,3,0.9685284788305061,0.002346450391659515,0.9626995729239056,0.9743573847371065,3,0.6565353870391846,0.013048420327835234,0.6241213140244412,0.688949460053928,3
WS,lstm,medium,0.1987975922447848,0.002737791768393781,0.19199654046608247,0.20559864402348713,3,0.12567912505477782,0.0032728069083252315,0.11754902199063086,0.1338092281189248,3,9.489035418437068,0.2756616502957321,8.804253917262594,10.173816919611541,3,0.9440076965365586,0.0009557635321997827,0.9416334483027349,0.9463819447703823,3,0.6565586725870768,0.013054776810078337,0.6241288091950794,0.6889885359790742,3
WS,mlp,high,0.20648414790759376,0.008851014323834328,0.18449700943878702,0.2284712863764005,3,0.13019912358280952,0.01042949558342377,0.1042908202898141,0.15610742687580495,3,8.778140440670896,0.6356890322339459,7.199001342772049,10.357279538569742,3,0.9555658531562146,0.007123074501840259,0.9378711551628053,0.9732605511496238,3,0.7323221762975057,0.011578510888681483,0.7035595607533767,0.7610847918416348,3
WS,mlp,low,0.1763831704972412,0.0023092861141262603,0.17064658577398986,0.18211975522049254,3,0.11446638645558271,0.0018212799768528869,0.10994207618148276,0.11899069672968267,3,10.423644437715906,0.22546342867019503,9.863562231942684,10.983726643489128,3,0.9710844481220983,0.002237803899324181,0.9655254350643541,0.9766434611798425,3,0.7316245039304098,0.01147465981621353,0.7031198687518009,0.7601291391090187,3
