task,mode,fraction,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n,train_time_sec_mean,train_time_sec_std,train_time_sec_ci95_low,train_time_sec_ci95_high,train_time_sec_n,trainable_ratio_mean,trainable_ratio_std,trainable_ratio_ci95_low,trainable_ratio_ci95_high,trainable_ratio_n
SR,fullft,0.2,84.79754796983612,4.351734402948019,73.9872404280856,95.60785551158664,3,51.09196493439646,3.9240628148257444,41.34405251293147,60.83987735586145,3,113.8122606514432,0.5175077072522882,112.52670023975227,115.09782106313412,3,0.9887433931717537,0.0017572591925595713,0.9843781193422507,0.9931086670012568,3,427.2612110507343,16.114925942622456,387.2295157950982,467.29290630637036,3,22.158113732667214,3.1122307687485318,14.426903912445074,29.889323552889355,3,1.0,0.0,1.0,1.0,3
SR,fullft,0.5,103.9549629365102,18.01149564640583,59.21192735680106,148.69799851621934,3,63.08901620323601,13.444794819012795,29.690294366994756,96.48773803947725,3,114.6676605628236,2.180687802554682,109.25053175501068,120.08478937063651,3,0.9806104471215656,0.006861226089689008,0.9635662166435351,0.9976546775995961,3,453.6002027336099,31.902714959792434,374.3494653957502,532.8509400714696,3,44.90553189066668,3.1313857666080342,37.12673841789384,52.68432536343952,3,1.0,0.0,1.0,1.0,3
SR,lora,0.1,72.42306717035103,5.412296090053851,58.97817834605601,85.86795599464605,3,42.019702134414615,4.363575522268695,31.179979621610638,52.85942464721859,3,112.28173818065746,0.9937396256072657,109.81315210105639,114.75032426025852,3,0.9883338888624351,0.0007712742572259832,0.9864179373939815,0.9902498403308887,3,386.1946412008335,34.273528739915655,301.0544759443053,471.33480645736165,3,11.911198286666453,0.6877864565298382,10.202642012390726,13.61975456094218,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
SR,lora,0.2,79.72745923716485,6.977937384367732,62.39330183063932,97.06161664369039,3,46.87762842931105,4.307723816961545,36.176649243924416,57.57860761469769,3,112.75352693461342,0.8151700384558848,110.72853230062128,114.77852156860556,3,0.9897719156230655,0.0009847813248423812,0.9873255831962274,0.9922182480499037,3,445.144330573952,19.438790010605207,396.8556992384104,493.4329619094936,3,17.60068363933351,1.0858821934033929,14.903202732215405,20.298164546451616,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
SR,lora,0.5,127.00661061238092,23.846754979958686,67.76798726452967,186.24523396023218,3,78.43669234226577,10.553616921034891,52.22005455368148,104.65333013085007,3,116.83078877925277,1.4719962707310892,113.17414733161914,120.4874302268864,3,0.9745313715219911,0.011319141979318373,0.9464130640668585,1.0026496789771238,3,520.7940705070824,82.72161194968228,315.3021946886464,726.2859463255185,3,46.265255486666625,15.665394110665595,7.35025920741294,85.1802517659203,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
SR,spikelora,0.1,69.34087816455167,3.0803379105122546,61.68889459620879,76.99286173289455,3,39.690436171353106,3.3008525848401398,31.490663784524774,47.89020855818144,3,112.70345851050962,1.6923128933174871,108.49952023219043,116.9073967888288,3,0.9885624494071711,0.0010333170436280232,0.9859955475709321,0.9911293512434101,3,366.79265408806333,15.323404768441723,328.72720643083414,404.8581017452925,3,14.961694973333579,0.5167104442334592,13.678115072773883,16.245274873893273,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
SR,spikelora,0.2,72.0590309557417,7.436485804423763,53.585776126305575,90.53228578517783,3,41.234182726179476,5.153789133129867,28.43146078232119,54.036904670037764,3,112.36740462246992,1.3161977012449473,109.09778827672876,115.63702096821108,3,0.988933860292367,0.0016864408883835865,0.9847445088829475,0.9931232117017864,3,396.6786615371734,40.84312325896749,295.21871878516254,498.1386042891843,3,21.1311441546671,0.38783930565884495,20.167697909392842,22.09459039994136,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
SR,spikelora,0.5,115.9091730960921,19.726350515846026,66.90620186508067,164.91214432710353,3,71.59043976324634,14.000850497833472,36.810399045430835,106.37048048106183,3,116.931422933232,1.4002700134029342,113.45295938634774,120.40988648011626,3,0.9793692363855689,0.009597305070304695,0.9555282089295478,1.00321026384159,3,475.314620169929,40.19074317624796,375.47527938377647,575.1539609560816,3,48.044531937333886,12.339648897089818,17.39114476269457,78.6979191119732,3,0.0151774849860654,0.0,0.0151774849860654,0.0151774849860654,3
WP,fullft,0.1,1022.5873929104524,58.91479132181924,876.2349380098339,1168.939847811071,3,732.8887653410403,45.83050551236811,619.0394782505962,846.7380524314844,3,84.2137878644491,0.2531519400682212,83.58492358333066,84.84265214556754,3,0.9443651532388734,0.010583683664314312,0.9180738255194401,0.9706564809583067,3,3431.7193686680152,82.07810888707769,3227.8260430750024,3635.612694261028,3,6.1748110346658605,0.023224800596654355,6.117117431656545,6.232504637675176,3,1.0,0.0,1.0,1.0,3
WP,fullft,0.2,976.6957840794147,34.56671222193424,890.8273106787509,1062.5642574800786,3,714.618530815888,24.07342469243366,654.816828687173,774.420232944603,3,83.76697258984447,0.490354557349893,82.54886434181806,84.98508083787088,3,0.9573551211776468,0.0030988588175137415,0.9496571291257663,0.9650531132295272,3,3574.8646353656623,195.5132424350111,3089.182816692285,4060.5464540390394,3,10.465122705333973,1.3358897960331693,7.146588484306646,13.783656926361301,3,1.0,0.0,1.0,1.0,3
