task,mode,fraction,regime,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_n,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_n,picp95_mean,picp95_std,picp95_ci95_low,picp95_ci95_high,picp95_n,mpiw95_mean,mpiw95_std,mpiw95_ci95_low,mpiw95_ci95_high,mpiw95_n
SR,fullft,0.5,medium,112.72485126236768,15.222916773357218,74.90902962330298,150.54067290143237,3,73.93396445209686,12.786309190785866,42.171011597559456,105.69691730663426,3,84.51373945377566,2.4472168128980605,78.43451588010147,90.59296302744984,3,0.9795574589578872,0.0033877219691526377,0.9711418910574943,0.98797302685828,3,494.71800740559894,32.08884346747768,415.00490122257224,574.4311135886256,3
SR,lora,0.1,high,78.18981683159814,11.711043034418362,49.097973186228984,107.28166047696729,3,51.62216099384426,9.746543789056277,27.41040400852365,75.83391797916488,3,63.83637301482625,2.0308474182588916,58.79146835638106,68.88127767327144,3,0.9898778858996374,0.000876242129609241,0.9877011797808777,0.9920545920183972,3,446.09401448567706,40.42666935187474,345.66860058946827,546.5194283818859,3
SR,lora,0.1,low,39.747410164201206,1.4026657118201822,36.26299537253275,43.23182495586966,3,18.97159763071998,1.4575239258422943,15.350907480801615,22.592287780638348,3,191.75116459445255,0.13290125593656174,191.42101957264563,192.08130961625946,3,0.9951579147640791,0.0007119466226053191,0.9933893413101339,0.9969264882180243,3,285.0487874348958,24.919168087169705,223.14614224487934,346.9514326249123,3
SR,lora,0.1,medium,89.48556365073466,2.397974323035444,83.52866520314717,95.44246209832215,3,55.49852209903954,3.291456422442596,47.32209107356839,63.674953124510694,3,81.10607386530461,0.928267338928903,78.80012996211377,83.41201776849545,3,0.9799666904591957,0.0028740744935600695,0.9728270936234519,0.9871062872949395,3,427.62978108723956,37.52412483011206,334.4146874974864,520.8448746769927,3
SR,lora,0.2,high,94.30117137658503,13.210635579137849,61.48413333866472,127.11820941450534,3,60.288154443305224,8.795434044108237,38.439085043393995,82.13722384321645,3,65.15487607492896,2.062114045769605,60.032300807966124,70.2774513418918,3,0.9860427399351268,0.003943643514384961,0.9762461863594649,0.9958392935107887,3,512.2512003580729,20.808543663091132,460.55991231862544,563.9424883975204,3
SR,lora,0.2,low,43.03835269415922,3.5525165387142947,34.21341238883166,51.86329299948679,3,23.071053007567127,1.8488456434433358,18.478265821541147,27.663840193593106,3,191.76817400482363,0.10739810974196759,191.5013823102462,192.03496569940106,3,0.9969368340943684,0.0003832427145830528,0.9959848064143308,0.9978888617744059,3,333.47520955403644,15.348929185862422,295.3463557289228,371.6040633791501,3
SR,lora,0.2,medium,91.08036268263994,3.8105829011052723,81.61434999437067,100.54637537090922,3,57.316418546340365,2.6822993082635334,50.65321768056367,63.97961941211706,3,81.18817726144306,0.3117807908727538,80.41367084104631,81.9626836818398,3,0.9863240542469666,0.0009158609525964179,0.9840489295159304,0.9885991789780028,3,489.9172770182292,22.33579899727143,434.4320764077196,545.4024776287388,3
SR,lora,0.5,high,135.89849327628272,8.978626438198415,113.5943487417119,158.20263781085356,3,94.64746941492045,1.0148964939932967,92.12632676069975,97.16861206914115,3,71.80567841576568,2.115241825147026,66.55112642851148,77.06023040301989,3,0.9787731348979202,0.011564461617845011,0.9500454196772982,1.0075008501185423,3,586.1754760742188,85.68919973090534,373.31170353560844,799.039248612829,3
SR,lora,0.5,low,110.27951168509365,52.31338287958294,-19.67413555370196,240.23315892388928,3,55.800785802815064,23.18650624039464,-1.7976887519698437,113.39926035759997,3,192.38874714376118,0.47168399382949966,191.21701914667483,193.56047514084753,3,0.9693493150684932,0.024081634661470876,0.9095272182460808,1.0291714118909057,3,411.8972574869792,75.9580142600383,223.20708975628702,600.5874252176714,3
SR,lora,0.5,medium,128.90740898177316,24.800471433473977,67.29962262545715,190.51519533808917,3,84.91085691682106,11.84210117514467,55.49344680164584,114.32826703199629,3,86.15631326198978,2.355680635861732,80.30447815767818,92.00814836630138,3,0.9754841779681179,0.013886647370248625,0.9409878335463323,1.0099805223899037,3,564.5147806803385,87.40984637084694,347.3766849349057,781.6528764257713,3
SR,spikelora,0.1,high,73.37086934780572,8.022452185777576,53.44199333264875,93.2997453629627,3,49.158909851857395,7.6950609704723965,30.04331870112571,68.27450100258908,3,65.0093159364832,3.039999903706855,57.45753753206122,72.56109434090519,3,0.9908986834573555,0.0014232761029371896,0.9873630696158601,0.994434297298851,3,424.31740315755206,18.68100446205983,377.91121548054815,470.723590834556,3
SR,spikelora,0.1,low,36.200830688833115,3.6237599169333423,27.19891202096131,45.20274935670492,3,15.938726616413808,1.1027747281241802,13.199282326749262,18.678170906078353,3,191.853067700058,0.31430507852937384,191.07229060149822,192.6338447986178,3,0.9955384322678843,0.0012355471318848284,0.9924691630429623,0.9986077014928063,3,268.1390075683594,10.833830180952605,241.2262814534896,295.05173368322914,3
SR,spikelora,0.1,medium,87.73123300793328,2.5146806568261475,81.48441995537978,93.97804606048679,3,54.00682253561444,4.488097656671736,42.85776989279606,65.15587517843282,3,81.09834888980173,1.8445560145258308,76.51621773273901,85.68048004686445,3,0.9792529145848204,0.0026332558315423,0.9727115444690808,0.9857942847005601,3,408.1033630371094,16.74109323852742,366.5161819878703,449.69054408634844,3
SR,spikelora,0.2,high,80.39516869282504,18.07603667133242,35.49180431914272,125.29853306650736,3,51.516161647549886,13.668121396004763,17.56266583937365,85.46965745572612,3,64.61635237764071,2.941070126298348,57.310329164091215,71.9223755911902,3,0.9879507727532912,0.0019214136797364042,0.9831777165716442,0.9927238289349383,3,456.8696797688802,47.86825564970384,337.9583407152187,575.7810188225417,3
